car_id,brand,year,engine_size,fuel_type,transmission,total_km_travled,condition,price,model,price_category
42,Mercedes,2022,4.1,Electric,Manual,224839,Used,17932.96,GLA,Affordable
43,Tesla,2022,4.2,Electric,Automatic,219882,Used,19855.49,Model Y,Affordable
44,Mercedes,2010,2.2,Diesel,Automatic,103235,Like_New,69968.98,C-Class,Expensive
45,Ford,2009,4.6,Hybrid,Manual,45510,New,6874.55,Explorer,Affordable
46,BMW,2017,1.5,Hybrid,Automatic,87945,New,16167.56,5 Series,Affordable
47,Tesla,2017,2.0,Electric,Manual,242802,Used,85214.72,Model S,Luxury
48,BMW,2016,5.4,Petrol,Automatic,250168,Used,85266.84,X5,Luxury
49,Toyota,2007,4.7,Petrol,Automatic,2881,New,36278.13,Prius,Mid-range
50,Ford,2014,1.1,Electric,Automatic,111860,Like_New,13355.54,Explorer,Affordable
51,Audi,2007,2.2,Diesel,Automatic,166415,Like_New,71972.18,Q5,Expensive
52,Ford,2016,2.1,Hybrid,Automatic,139728,Like_New,39212.51,Mustang,Mid-range
53,Tesla,2011,2.4,Electric,Manual,267885,Used,9319.14,Model S,Affordable
54,Audi,2007,2.2,Electric,Automatic,147733,Like_New,19993.56,A4,Affordable
55,Toyota,2013,1.3,Diesel,Manual,290834,Used,18035.41,Camry,Affordable
56,Tesla,2003,3.3,Electric,Manual,294977,Used,60966.05,Model S,Expensive
57,Honda,2000,4.7,Diesel,Automatic,102566,Like_New,90321.17,CR-V,Luxury
58,BMW,2000,4.0,Diesel,Manual,71240,New,80341.84,5 Series,Luxury
59,Toyota,2018,4.4,Petrol,Automatic,106898,Like_New,56919.02,Prius,Expensive
60,BMW,2015,1.4,Petrol,Manual,209304,Used,45104.74,3 Series,Mid-range
61,Mercedes,2013,5.8,Petrol,Manual,80522,New,63774.29,GLC,Expensive
62,Honda,2020,5.2,Diesel,Automatic,145512,Like_New,47162.21,Accord,Mid-range
63,Honda,2015,5.0,Diesel,Automatic,119107,Like_New,28379.42,CR-V,Affordable
64,Toyota,2004,5.1,Electric,Automatic,22462,New,69523.76,Camry,Expensive
65,Honda,2008,5.7,Hybrid,Automatic,279965,Used,87958.17,Fit,Luxury
66,Audi,2001,3.7,Diesel,Manual,92889,New,40422.68,A4,Mid-range
67,Honda,2017,2.0,Hybrid,Automatic,88952,New,84946.15,CR-V,Luxury
68,BMW,2005,4.1,Petrol,Manual,193596,Like_New,45952.79,X3,Mid-range
69,BMW,2008,4.7,Diesel,Manual,177505,Like_New,43126.91,5 Series,Mid-range
70,Tesla,2000,4.7,Electric,Manual,221576,Used,7690.81,Model X,Affordable
71,BMW,2008,3.6,Electric,Manual,219393,Used,71051.5,5 Series,Expensive
72,Tesla,2015,1.3,Electric,Manual,275455,Used,81712.74,Model S,Luxury
73,BMW,2012,2.9,Petrol,Manual,254084,Used,68037.91,X5,Expensive
74,Audi,2008,5.6,Hybrid,Automatic,129466,Like_New,19379.29,A3,Affordable
75,Tesla,2020,3.9,Electric,Manual,30531,New,14812.88,Model S,Affordable
76,Ford,2012,3.7,Electric,Manual,14588,New,59421.58,Fiesta,Expensive
77,Mercedes,2008,2.3,Hybrid,Manual,143452,Like_New,43144.04,GLC,Mid-range
78,Toyota,2010,2.8,Electric,Automatic,173717,Like_New,45764.29,RAV4,Mid-range
79,BMW,2003,5.5,Electric,Automatic,161929,Like_New,96941.02,X5,Luxury
80,Honda,2001,4.3,Petrol,Manual,21711,New,73772.65,Fit,Expensive
81,BMW,2005,4.9,Hybrid,Automatic,136169,Like_New,44119.84,5 Series,Mid-range
82,Honda,2013,3.3,Hybrid,Manual,159465,Like_New,6814.43,CR-V,Affordable
83,Mercedes,2003,4.2,Electric,Automatic,284220,Used,8239.09,GLC,Affordable
84,Mercedes,2005,2.2,Electric,Manual,160389,Like_New,70056.35,E-Class,Expensive
85,Mercedes,2018,4.5,Petrol,Automatic,58480,New,84585.18,GLC,Luxury
86,Honda,2005,3.1,Diesel,Automatic,269188,Used,72231.75,Fit,Expensive
87,BMW,2001,3.2,Diesel,Automatic,250309,Used,43559.34,X3,Mid-range
88,Mercedes,2017,4.2,Electric,Manual,55486,New,7957.9,C-Class,Affordable
89,Audi,2012,5.7,Diesel,Manual,55162,New,96903.15,A3,Luxury
90,Tesla,2008,1.3,Electric,Manual,210359,Used,98701.93,Model S,Luxury
91,Honda,2022,5.1,Diesel,Automatic,29882,New,57189.63,CR-V,Expensive
92,Honda,2018,2.5,Diesel,Automatic,54078,New,11713.74,CR-V,Affordable
93,BMW,2012,3.2,Electric,Manual,238680,Used,56392.39,3 Series,Expensive
94,Honda,2010,1.1,Diesel,Automatic,108730,Like_New,89772.15,CR-V,Luxury
95,Honda,2000,2.5,Diesel,Manual,174898,Like_New,69598.62,Fit,Expensive
96,Mercedes,2023,3.5,Petrol,Manual,98938,New,73398.98,C-Class,Expensive
97,BMW,2021,1.3,Electric,Manual,118319,Like_New,13072.13,5 Series,Affordable
98,Mercedes,2006,3.5,Hybrid,Manual,32543,New,15118.61,E-Class,Affordable
99,Tesla,2020,5.6,Electric,Automatic,124279,Like_New,17098.13,Model 3,Affordable
100,Tesla,2014,1.5,Electric,Automatic,29362,New,90915.8,Model 3,Luxury
101,Mercedes,2000,4.8,Petrol,Automatic,158818,Like_New,54955.72,GLA,Expensive
102,Tesla,2011,3.0,Electric,Manual,242721,Used,80199.63,Model S,Luxury
103,BMW,2006,4.3,Hybrid,Automatic,165229,Like_New,15952.67,X5,Affordable
104,Toyota,2014,2.3,Diesel,Manual,142394,Like_New,93126.06,Camry,Luxury
105,Mercedes,2020,1.8,Petrol,Manual,69812,New,83008.5,GLC,Luxury
106,Audi,2018,1.8,Hybrid,Manual,296161,Used,26352.59,A4,Affordable
107,Audi,2000,1.4,Electric,Manual,228208,Used,88047.31,Q7,Luxury
108,Honda,2016,1.9,Diesel,Manual,279773,Used,30027.06,Accord,Mid-range
109,Tesla,2016,4.3,Electric,Manual,128614,Like_New,24507.29,Model 3,Affordable
110,Audi,2002,5.4,Petrol,Automatic,96950,New,30103.17,Q5,Mid-range
111,Honda,2011,5.1,Hybrid,Automatic,174942,Like_New,91445.73,Accord,Luxury
112,Toyota,2005,4.4,Hybrid,Automatic,64829,New,91981.24,Camry,Luxury
113,BMW,2010,1.6,Hybrid,Automatic,245602,Used,36254.6,X5,Mid-range
114,BMW,2002,2.4,Hybrid,Manual,10588,New,72016.25,3 Series,Expensive
115,BMW,2007,2.5,Diesel,Manual,168217,Like_New,69195.8,5 Series,Expensive
116,Audi,2013,2.2,Diesel,Automatic,272743,Used,81623.45,A3,Luxury
117,Toyota,2013,3.6,Electric,Automatic,208502,Used,33168.4,Camry,Mid-range
118,Audi,2009,3.7,Diesel,Automatic,134011,Like_New,53463.16,Q5,Mid-range
119,Tesla,2001,2.8,Electric,Automatic,252856,Used,68429.03,Model 3,Expensive
120,Audi,2013,2.8,Petrol,Automatic,284293,Used,7494.4,Q5,Affordable
121,Toyota,2008,5.1,Hybrid,Automatic,197639,Like_New,40790.18,Camry,Mid-range
122,Toyota,2002,4.9,Petrol,Automatic,141280,Like_New,71109.39,Prius,Expensive
123,Tesla,2020,2.5,Electric,Automatic,197170,Like_New,28996.53,Model S,Mid-range
124,Toyota,2007,5.6,Diesel,Manual,180564,Like_New,95981.89,Corolla,Luxury
125,Toyota,2015,5.8,Diesel,Manual,20951,New,7865.33,Corolla,Affordable
126,BMW,2001,2.6,Diesel,Manual,179992,Like_New,96018.28,X3,Luxury
127,Tesla,2005,2.8,Electric,Manual,46766,New,25592.57,Model X,Affordable
128,Ford,2020,3.5,Diesel,Automatic,159423,Like_New,9638.09,Mustang,Affordable
129,Ford,2011,5.7,Hybrid,Manual,87122,New,32785.03,Explorer,Mid-range
130,Toyota,2004,5.4,Hybrid,Automatic,271452,Used,79696.82,Corolla,Luxury
131,Ford,2001,1.5,Hybrid,Manual,83211,New,76481.99,Explorer,Luxury
132,Ford,2015,3.0,Petrol,Automatic,126534,Like_New,24839.84,Focus,Affordable
133,Toyota,2004,3.8,Diesel,Automatic,8720,New,23695.06,RAV4,Affordable
134,Ford,2014,3.5,Petrol,Manual,79993,New,66045.09,Focus,Expensive
135,Audi,2011,2.0,Diesel,Manual,219973,Used,48517.86,Q5,Mid-range
136,Honda,2003,5.3,Electric,Automatic,25905,New,80267.55,Accord,Luxury
137,Tesla,2014,4.4,Electric,Automatic,204580,Used,7292.61,Model 3,Affordable
138,Honda,2010,5.2,Petrol,Automatic,50385,New,62989.13,Accord,Expensive
139,Toyota,2015,5.3,Hybrid,Manual,30653,New,74413.84,Corolla,Expensive
140,BMW,2022,4.7,Petrol,Manual,91865,New,99371.68,3 Series,Luxury
141,Tesla,2005,3.2,Electric,Automatic,125813,Like_New,69484.26,Model 3,Expensive
142,Toyota,2013,4.1,Diesel,Manual,145871,Like_New,27025.29,Prius,Affordable
143,BMW,2017,1.8,Hybrid,Automatic,191175,Like_New,15277.69,5 Series,Affordable
144,Honda,2011,4.4,Hybrid,Manual,248535,Used,65887.09,Fit,Expensive
145,Toyota,2010,1.9,Diesel,Manual,15052,New,54702.39,Camry,Expensive
146,Tesla,2012,4.5,Electric,Manual,137116,Like_New,90418.8,Model Y,Luxury
147,Tesla,2020,2.1,Electric,Manual,150943,Like_New,74027.76,Model 3,Expensive
148,Mercedes,2022,1.6,Petrol,Manual,220375,Used,53425.53,E-Class,Mid-range
149,Audi,2010,1.8,Petrol,Automatic,21381,New,43341.0,Q7,Mid-range
150,Ford,2022,1.0,Petrol,Automatic,148346,Like_New,43415.6,Focus,Mid-range
151,BMW,2015,4.6,Petrol,Manual,243234,Used,26498.91,3 Series,Affordable
152,Mercedes,2014,4.7,Petrol,Automatic,256017,Used,6645.97,GLA,Affordable
153,Ford,2020,3.6,Electric,Automatic,235020,Used,59616.51,Mustang,Expensive
154,Ford,2014,1.8,Electric,Manual,49892,New,25179.4,Mustang,Affordable
155,Toyota,2003,1.4,Hybrid,Automatic,181593,Like_New,24791.06,Camry,Affordable
156,Ford,2010,1.1,Petrol,Manual,214992,Used,16911.22,Mustang,Affordable
157,Audi,2018,1.8,Diesel,Automatic,280064,Used,23011.57,A3,Affordable
158,Tesla,2014,5.5,Electric,Automatic,278846,Used,8019.97,Model 3,Affordable
159,Mercedes,2003,2.2,Electric,Automatic,256216,Used,69051.99,C-Class,Expensive
160,Ford,2020,2.8,Petrol,Automatic,264038,Used,43132.73,Fiesta,Mid-range
161,Toyota,2012,1.5,Electric,Automatic,293129,Used,58344.84,Camry,Expensive
162,Audi,2021,2.1,Hybrid,Automatic,159359,Like_New,65510.97,A4,Expensive
163,Honda,2018,3.6,Hybrid,Automatic,258771,Used,97386.03,Civic,Luxury
164,Tesla,2001,4.0,Electric,Manual,125702,Like_New,11485.26,Model Y,Affordable
165,Tesla,2013,2.2,Electric,Manual,73527,New,44702.18,Model 3,Mid-range
166,Mercedes,2003,1.3,Petrol,Manual,146511,Like_New,28360.3,E-Class,Affordable
167,Tesla,2015,3.0,Electric,Manual,225692,Used,50287.63,Model Y,Mid-range
168,Ford,2020,2.2,Diesel,Automatic,158731,Like_New,92444.87,Explorer,Luxury
169,Toyota,2019,2.1,Electric,Automatic,287120,Used,73778.51,Corolla,Expensive
170,Tesla,2013,5.8,Electric,Automatic,235311,Used,67885.21,Model Y,Expensive
171,Tesla,2014,4.1,Electric,Manual,198937,Like_New,46918.36,Model S,Mid-range
172,Honda,2002,3.8,Petrol,Manual,199378,Like_New,68755.69,CR-V,Expensive
173,Honda,2007,3.1,Electric,Manual,56697,New,8075.66,CR-V,Affordable
174,BMW,2015,3.1,Diesel,Automatic,70382,New,60692.67,X3,Expensive
175,Audi,2009,3.7,Diesel,Manual,278795,Used,57608.77,A3,Expensive
176,Ford,2003,4.5,Diesel,Automatic,180116,Like_New,37930.84,Fiesta,Mid-range
177,Tesla,2017,4.5,Electric,Manual,14633,New,24143.84,Model 3,Affordable
178,Tesla,2001,1.9,Electric,Automatic,79164,New,81717.78,Model S,Luxury
179,Toyota,2016,3.5,Petrol,Manual,262713,Used,10116.9,Prius,Affordable
180,BMW,2012,3.1,Electric,Automatic,123425,Like_New,11618.92,X5,Affordable
181,Audi,2003,5.4,Petrol,Manual,250220,Used,46849.57,Q7,Mid-range
182,BMW,2010,4.2,Electric,Manual,295182,Used,28992.68,5 Series,Mid-range
183,Mercedes,2006,3.7,Diesel,Automatic,180160,Like_New,75817.98,GLA,Expensive
184,Audi,2011,1.6,Diesel,Automatic,204249,Used,65248.06,Q7,Expensive
185,Tesla,2009,4.0,Electric,Manual,205538,Used,78390.81,Model Y,Luxury
186,Tesla,2006,1.6,Electric,Automatic,197865,Like_New,35844.5,Model X,Mid-range
187,Audi,2012,2.7,Diesel,Manual,201466,Used,75349.3,A4,Expensive
188,Tesla,2006,1.7,Electric,Automatic,187223,Like_New,86918.81,Model Y,Luxury
189,Ford,2023,4.5,Electric,Manual,111174,Like_New,37801.08,Fiesta,Mid-range
190,Audi,2016,2.0,Diesel,Automatic,137980,Like_New,37290.1,Q5,Mid-range
191,BMW,2009,3.0,Petrol,Manual,68447,New,90495.38,X3,Luxury
192,Audi,2009,5.5,Diesel,Manual,205599,Used,9730.07,Q5,Affordable
193,Tesla,2023,2.0,Electric,Manual,226301,Used,38267.99,Model X,Mid-range
194,Ford,2003,3.5,Petrol,Automatic,279778,Used,16273.89,Fiesta,Affordable
195,Ford,2019,3.1,Diesel,Manual,286705,Used,7753.16,Fiesta,Affordable
196,Mercedes,2003,1.1,Diesel,Automatic,55063,New,15722.59,GLA,Affordable
197,BMW,2021,5.0,Diesel,Automatic,288065,Used,45968.35,X3,Mid-range
198,Honda,2006,1.3,Diesel,Automatic,19340,New,70260.83,Accord,Expensive
199,Honda,2021,3.4,Electric,Manual,62781,New,32481.83,CR-V,Mid-range
200,Audi,2000,3.8,Diesel,Automatic,277045,Used,85719.15,Q5,Luxury
201,Mercedes,2011,4.1,Hybrid,Automatic,10638,New,46573.48,GLA,Mid-range
202,Toyota,2023,4.4,Diesel,Automatic,217986,Used,96981.66,Prius,Luxury
203,Audi,2012,2.3,Petrol,Manual,221668,Used,95644.79,A3,Luxury
204,Mercedes,2009,1.0,Hybrid,Automatic,294786,Used,78461.24,GLC,Luxury
205,BMW,2014,4.6,Electric,Automatic,25378,New,93578.52,3 Series,Luxury
206,BMW,2012,3.7,Hybrid,Automatic,118171,Like_New,72174.13,X3,Expensive
207,BMW,2022,5.2,Hybrid,Automatic,214801,Used,90080.4,X3,Luxury
208,BMW,2021,5.1,Hybrid,Manual,64377,New,27465.0,3 Series,Affordable
209,BMW,2021,5.2,Petrol,Manual,260339,Used,37814.92,X5,Mid-range
210,Mercedes,2020,3.4,Petrol,Automatic,54691,New,76528.36,C-Class,Luxury
211,Mercedes,2021,2.7,Petrol,Automatic,91782,New,45333.32,E-Class,Mid-range
212,Ford,2008,5.0,Electric,Automatic,259896,Used,84546.11,Focus,Luxury
213,Honda,2008,3.3,Petrol,Automatic,78343,New,88375.69,Fit,Luxury
214,Tesla,2014,1.9,Electric,Manual,121399,Like_New,33474.3,Model S,Mid-range
215,BMW,2009,5.3,Hybrid,Manual,31357,New,83227.83,5 Series,Luxury
216,Toyota,2023,5.4,Petrol,Manual,294458,Used,19655.11,Corolla,Affordable
217,Tesla,2009,3.3,Electric,Manual,70283,New,36748.69,Model Y,Mid-range
218,Mercedes,2007,1.4,Petrol,Automatic,59567,New,54206.67,C-Class,Expensive
219,Toyota,2023,2.9,Electric,Automatic,237778,Used,26512.16,Prius,Affordable
220,Toyota,2015,5.0,Electric,Manual,141758,Like_New,60030.44,Prius,Expensive
221,Toyota,2016,5.5,Diesel,Manual,61606,New,59976.03,RAV4,Expensive
222,Ford,2004,2.0,Electric,Automatic,281035,Used,24655.78,Fiesta,Affordable
223,Mercedes,2003,1.3,Electric,Automatic,101732,Like_New,80585.93,GLA,Luxury
224,Toyota,2017,5.4,Hybrid,Automatic,191791,Like_New,65006.23,RAV4,Expensive
225,BMW,2023,2.9,Diesel,Automatic,292021,Used,35187.25,X3,Mid-range
226,Audi,2018,3.7,Hybrid,Automatic,249465,Used,27057.55,A4,Affordable
227,Toyota,2003,5.8,Hybrid,Manual,224589,Used,88481.26,Corolla,Luxury
228,Ford,2006,1.3,Petrol,Manual,14026,New,84395.51,Fiesta,Luxury
229,Tesla,2009,4.2,Electric,Automatic,282566,Used,26827.26,Model Y,Affordable
230,Mercedes,2017,1.4,Petrol,Automatic,295625,Used,8382.5,GLC,Affordable
231,Ford,2018,2.9,Petrol,Manual,109384,Like_New,81430.6,Explorer,Luxury
232,Toyota,2003,5.0,Hybrid,Automatic,252771,Used,63473.31,Corolla,Expensive
233,Mercedes,2009,3.2,Electric,Manual,58031,New,14583.79,C-Class,Affordable
234,Audi,2000,6.0,Diesel,Manual,68232,New,60799.03,A3,Expensive
235,Toyota,2022,3.8,Electric,Manual,143084,Like_New,47957.36,Camry,Mid-range
236,Ford,2017,2.6,Hybrid,Manual,236503,Used,78582.28,Focus,Luxury
237,Honda,2004,2.1,Hybrid,Automatic,292104,Used,24863.06,Fit,Affordable
238,BMW,2014,2.8,Hybrid,Automatic,87695,New,48049.89,X3,Mid-range
239,Tesla,2016,2.9,Electric,Manual,130066,Like_New,19843.19,Model X,Affordable
240,Ford,2002,1.3,Hybrid,Automatic,138982,Like_New,95965.09,Fiesta,Luxury
241,Mercedes,2011,2.8,Hybrid,Automatic,264837,Used,78980.12,GLA,Luxury
242,Toyota,2001,3.3,Electric,Automatic,115313,Like_New,74988.63,Corolla,Expensive
243,BMW,2000,4.6,Petrol,Automatic,28810,New,70569.63,3 Series,Expensive
244,Toyota,2022,4.3,Electric,Manual,20092,New,45216.96,Prius,Mid-range
245,Mercedes,2020,4.5,Diesel,Automatic,58105,New,92711.83,C-Class,Luxury
246,Toyota,2016,1.0,Electric,Manual,161577,Like_New,11927.12,RAV4,Affordable
247,Honda,2021,2.1,Hybrid,Manual,204300,Used,81309.61,Civic,Luxury
248,BMW,2015,4.3,Electric,Automatic,290699,Used,25447.11,3 Series,Affordable
249,BMW,2004,3.4,Petrol,Manual,71934,New,35782.66,X3,Mid-range
250,Mercedes,2014,1.0,Diesel,Automatic,72788,New,54345.82,GLA,Expensive
251,Tesla,2002,5.0,Electric,Automatic,280083,Used,79352.23,Model S,Luxury
252,Honda,2006,4.9,Petrol,Manual,155223,Like_New,84660.82,CR-V,Luxury
253,Ford,2010,3.7,Electric,Automatic,128068,Like_New,60454.56,Explorer,Expensive
254,Toyota,2009,1.3,Diesel,Manual,36,New,43288.37,Camry,Mid-range
255,Audi,2008,4.8,Electric,Manual,39051,New,94917.73,Q5,Luxury
256,Toyota,2013,3.9,Hybrid,Automatic,80738,New,28419.52,Camry,Affordable
257,Toyota,2012,4.9,Electric,Automatic,60071,New,81293.98,Camry,Luxury
258,Ford,2001,4.8,Petrol,Automatic,130613,Like_New,63144.71,Focus,Expensive
259,Toyota,2002,5.0,Electric,Manual,73601,New,40805.03,Camry,Mid-range
260,Honda,2006,3.6,Petrol,Automatic,29873,New,5129.96,Civic,Affordable
261,Honda,2020,1.7,Diesel,Manual,167720,Like_New,47426.93,Fit,Mid-range
262,BMW,2017,4.4,Electric,Manual,71468,New,31288.4,X3,Mid-range
263,Mercedes,2002,4.1,Diesel,Automatic,288614,Used,14912.93,E-Class,Affordable
264,Tesla,2009,4.7,Electric,Automatic,196201,Like_New,12140.06,Model 3,Affordable
265,Audi,2021,1.8,Electric,Automatic,8328,New,38018.04,A3,Mid-range
266,Toyota,2006,2.0,Petrol,Manual,137405,Like_New,63401.95,Camry,Expensive
267,Toyota,2008,5.5,Diesel,Automatic,251519,Used,84564.33,Prius,Luxury
268,Ford,2016,4.7,Diesel,Manual,121173,Like_New,22438.51,Focus,Affordable
269,Mercedes,2010,5.5,Electric,Automatic,46638,New,45341.18,GLC,Mid-range
270,Honda,2006,4.8,Electric,Automatic,273412,Used,42235.83,Accord,Mid-range
271,Audi,2023,4.0,Electric,Manual,201675,Used,53772.43,A4,Expensive
272,BMW,2013,4.3,Electric,Manual,113920,Like_New,81910.79,5 Series,Luxury
273,Honda,2018,5.4,Electric,Automatic,171813,Like_New,57596.3,CR-V,Expensive
274,Mercedes,2003,3.9,Hybrid,Automatic,7887,New,85432.22,E-Class,Luxury
275,Tesla,2005,4.2,Electric,Automatic,228978,Used,54262.42,Model S,Expensive
276,BMW,2009,1.8,Petrol,Automatic,24918,New,62365.5,5 Series,Expensive
277,Tesla,2006,3.4,Electric,Automatic,297641,Used,46551.41,Model X,Mid-range
278,Ford,2012,4.6,Petrol,Manual,192081,Like_New,83194.08,Fiesta,Luxury
279,Ford,2013,2.4,Petrol,Manual,274073,Used,92763.58,Explorer,Luxury
280,Toyota,2003,2.0,Hybrid,Manual,102201,Like_New,65718.75,Corolla,Expensive
281,Tesla,2007,2.6,Electric,Manual,210171,Used,82974.33,Model X,Luxury
282,Mercedes,2004,2.2,Diesel,Automatic,290690,Used,10605.32,E-Class,Affordable
283,Audi,2000,2.1,Petrol,Manual,209496,Used,91080.62,Q7,Luxury
284,BMW,2003,3.1,Electric,Manual,168410,Like_New,22947.88,5 Series,Affordable
285,Honda,2002,5.5,Electric,Manual,82494,New,29369.44,CR-V,Mid-range
286,Mercedes,2008,3.5,Hybrid,Automatic,215859,Used,10066.36,GLA,Affordable
287,Mercedes,2007,1.9,Hybrid,Manual,233853,Used,96713.01,GLA,Luxury
288,Ford,2000,1.4,Hybrid,Automatic,128279,Like_New,85941.03,Fiesta,Luxury
289,Tesla,2005,4.5,Electric,Manual,81991,New,91752.54,Model S,Luxury
290,Toyota,2008,2.9,Petrol,Automatic,290157,Used,85485.54,Camry,Luxury
291,Toyota,2006,5.1,Hybrid,Manual,52132,New,50555.4,Camry,Mid-range
292,BMW,2003,4.3,Hybrid,Automatic,255069,Used,92787.78,3 Series,Luxury
293,Ford,2012,5.0,Hybrid,Manual,159156,Like_New,97099.92,Explorer,Luxury
294,Mercedes,2016,2.4,Petrol,Automatic,152215,Like_New,52743.86,E-Class,Mid-range
295,Audi,2001,4.5,Petrol,Automatic,91627,New,21684.35,A4,Affordable
296,Ford,2004,2.3,Hybrid,Manual,122772,Like_New,67569.14,Focus,Expensive
297,BMW,2011,5.7,Hybrid,Automatic,229415,Used,97666.64,5 Series,Luxury
298,BMW,2020,4.2,Electric,Automatic,141294,Like_New,87853.95,X5,Luxury
299,Ford,2007,2.6,Hybrid,Manual,259013,Used,86872.44,Focus,Luxury
300,BMW,2005,2.3,Diesel,Manual,16116,New,93712.71,5 Series,Luxury
301,Ford,2007,2.0,Diesel,Automatic,182124,Like_New,89925.46,Mustang,Luxury
302,Honda,2017,4.5,Hybrid,Manual,51369,New,78746.76,Accord,Luxury
303,Ford,2002,2.1,Petrol,Manual,179889,Like_New,73235.92,Explorer,Expensive
304,Tesla,2021,4.0,Electric,Manual,233982,Used,30152.88,Model 3,Mid-range
305,Ford,2011,2.3,Petrol,Automatic,214275,Used,64027.3,Explorer,Expensive
306,BMW,2002,4.3,Hybrid,Automatic,205383,Used,54541.42,X3,Expensive
307,Tesla,2021,5.1,Electric,Automatic,291799,Used,86884.69,Model Y,Luxury
308,BMW,2005,4.9,Electric,Automatic,188874,Like_New,51712.69,X5,Mid-range
309,Toyota,2001,4.8,Petrol,Automatic,47632,New,17135.56,Prius,Affordable
310,Toyota,2022,1.9,Petrol,Automatic,211284,Used,5472.39,Prius,Affordable
311,Tesla,2011,1.4,Electric,Automatic,161848,Like_New,69397.95,Model S,Expensive
312,Honda,2001,4.5,Electric,Manual,191082,Like_New,57241.3,Civic,Expensive
313,Toyota,2005,2.8,Diesel,Automatic,213807,Used,36441.48,RAV4,Mid-range
314,Ford,2016,3.2,Hybrid,Automatic,196523,Like_New,21052.35,Focus,Affordable
315,BMW,2002,1.2,Electric,Manual,179884,Like_New,49337.96,5 Series,Mid-range
316,Toyota,2001,2.3,Petrol,Manual,281039,Used,14527.21,Corolla,Affordable
317,Toyota,2022,1.2,Hybrid,Manual,235892,Used,36930.31,Corolla,Mid-range
